Title,Price,Package Sizing,Category
"Fat Free Greek Yogurt, Peach-Mango Flavour, Fruit On The Bottom, 0% M.F.",3.33,"4x100.0 g, $1.15/100g",yogurt
"Greek Yogurt, Strawberry Flavour, Fruit On The Bottom, 2% M.F.",3.33,"4x100.0 g, $1.15/100g",yogurt
"Yop 1% Drinkable Yogurt Pack, Strawberry, Blueberry, Raspberry, and Strawberry Banana, Yogurt Drinks",9.94,"12x200.0 ml, $0.46/100ml",yogurt
"Nano Drinkable Yogurt, Raspberry 1%",4.99,"6x93.0 ml, $0.89/100ml",yogurt
"Yogurt With Probiotics, Strawberry Flavour",3.89,"650 g, $0.68/100g",yogurt
"Yop 1% Drinkable Yogurt, Strawberry Banana, Yogurt Drink",1.29,"200 ml, $0.65/100ml",yogurt
"Yop 1% Drinkable Yogurt, Strawberry, Yogurt Drink",1.29,"200 ml, $0.65/100ml",yogurt
"High Protein Greek Yogurt, Vanilla Flavour, Blended, Value Tub",5.46,"650 g, $0.84/100g",yogurt
"Greek Yogurt, Plain, No Added Sugar, 2% Mf, Value Tub",5.46,"750 g, $0.73/100g",yogurt
"Yogurt 1.5% M.F. Variety Pack - Strawberry,Raspberry, Blueberry & Vanilla",6.29,"16x100.0 g, $0.39/100g",yogurt
"Source 0% Smooth Traditional Yogurt Cups Variety Pack, No Added Sugar",6.99,"16x100.0 g, $0.49/100g",yogurt
"Yogurt With Probiotics, Raspberry Flavour",3.89,"650 g, $0.68/100g",yogurt
"Nano Drinkable Yogurt, Lactose Free, Strawberry-Banana 1%",4.99,"6x93.0 ml, $0.89/100g",yogurt
"Nano Drinkable Yogurt, Banana 1%",4.99,"6x93.0 ml, $0.89/100ml",yogurt
"Yop 3% Minigo Duo, Variety Pack, Kids Snack",2.67,"6x60.0 g, $0.74/100g",yogurt
"Greek Yogurt, Raspberry-Pomegramate Flavour, Fruit On Bottom, 2% M.F.,",3.33,"4x100.0 g, $1.15/100g",yogurt
"Greek Yogurt, Blueberry Flavour, Fruit On The Bottom, 2% M.F.",3.33,"4x100.0 g, $1.15/100g",yogurt
"Yop 1% Drinkable Yogurt, Vanilla, Yogurt Drink",1.29,"200 ml, $0.65/100ml",yogurt
"Yop 1% Drinkable Yogurt Limited Edition, Yogurt Drink",1.29,"200 ml, $0.65/100ml",yogurt
"Yogurt With Probiotics, Cherry Flavour",3.89,"650 g, $0.68/100g",yogurt
Tubes Yogurt Mixed Berry Flavour 1% M.F.,2.67,"448 g, $0.60/100g",yogurt
"Source 0% Smooth Traditional Yogurt, Vanilla, No Added Sugar",2.67,"630 g, $0.42/100g",yogurt
Tubes Yogurt Vanilla Flavour 1% M.F.,2.67,"448 g, $0.60/100g",yogurt
